2025-04-19-11-00-56.fit***#terra***April Sommerrunde v3***54,77***1064***02:30:49***21,8***FALSE
2025-04-12-13-20-13.fit***#terra***April Sommerrunde v2***51,17***1211***02:40:34***19,1***FALSE
2025-04-08-16-38-09.fit***#terra***Feierabendrunde***39,3***545***01:39:29***23,7***FALSE
2025-04-05-14-31-38.fit***#exceed***April Sommerrunde v1***57,28***1322***02:56:47***19,4***FALSE
2025-04-01-15-57-57.fit***#terra***April Auftakt Abendrunde***32,59***823***01:42:05***19,2***FALSE
2025-03-25-16-48-37.fit***#terra***Metzingen Cyclocross***31,62***673***01:37:03***19,5***FALSE
2025-03-21-14-16-36.fit***#exceed***Metzingen Mountainbiken***24,71***528***01:13:33***20,2***FALSE
2025-03-18-16-42-47.fit***#terra***Metzingen Cyclocross***22,25***450***01:09:04***19,3***FALSE
2025-03-09-13-05-24.fit***#terra***März-Frühjahrs-Sonnenrunde***44,23***1109***02:23:26***18,5***FALSE
2025-03-07-15-14-32.fit***#terra***Metzingen Standard***24,36***516***01:14:08***19,7***FALSE
2025-03-03-16-29-40.fit***#terra***Metzingen***30,14***725***01:33:08***19,4***FALSE
2025-02-27-15-53-10.fit***#terra***Metzingen Standard***25,1***550***01:15:43***19,9***FALSE
2025-02-21-14-55-12.fit***#terra***Metzingen Standard***24,19***520***01:11:17***20,4***FALSE
2025-02-18-14-55-29.fit***#terra***ORBEA TERRA H30X1***29,76***413***01:18:48***22,7***FALSE
2025-01-26-14-07-14.fit***#terra***ORBEA TERRA H30X1***36,32***631***01:38:20***22,2***FALSE
2025-01-19-10-40-12.fit***#terra***ORBEA TERRA H30X1***33,32***840***01:42:38***19,5***FALSE
2025-01-12-14-04-11.fit***#exceed***Sonntag-Winterrunde***28,13***758***01:32:10***18,3***FALSE
2025-01-04-14-24-33.fit***#c62o***Cube Nuroad C:62One***46,45***210***01:43:41***26,9***FALSE
2025-01-01-13-46-45.fit***#c62o***Cube Nuroad C:62One***41,17***1129***02:14:50***18,3***FALSE
2024-12-29-13-02-18.fit***#c62o***Cube Nuroad C:62One***57,91***1036***02:44:57***21,1***FALSE
2024-12-26-14-24-23.fit***#c62o***Cube Nuroad C:62One***22,88***524***01:08:47***20***FALSE
2024-12-23-14-00-35.fit***#c62o***Cube Nuroad C:62One***35,02***629***01:41:35***20,7***FALSE
2024-12-19-13-05-15.fit***#c62o***Cube Nuroad C:62One***40,74***854***01:59:35***20,4***FALSE
2024-12-16-17-52-09.fit***#c62o***Cube Nuroad C:62One***23,33***507***01:12:24***19,3***FALSE
2024-12-14-10-42-54.fit***#c62o***Cube Nuroad C:62One***25,5***252***01:05:52***23,2***FALSE
2024-11-28-17-07-36.fit***#slx99***GRAND CANYON AL SLX 9.9 !RAHMENBRUCH!***22,22***370***01:10:10***19***FALSE
